"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature"
0.503,0.618,7,-6.06,0,0.0299,0.379,0,0.114,0.232,81.907,233560,4
0.39,0.302,0,-10.362,1,0.0379,0.849,0.000191,0.122,0.232,109.394,184667,3
0.664,0.844,5,-5.012,0,0.0405,0.00635,0.00285,0.542,0.557,142.056,206197,4
0.565,0.461,0,-7.273,1,0.141,0.586,0,0.162,0.199,157.894,238933,4
0.304,0.139,0,-18.236,0,0.0327,0.958,0.468,0.092,0.271,84.272,154600,4
0.298,0.252,2,-11.46,1,0.0342,0.444,1.77e-05,0.116,0.207,187.451,366227,3
0.302,0.207,1,-11.696,1,0.0359,0.886,0.00832,0.247,0.298,139.695,348640,4
0.437,0.285,0,-10.683,1,0.0324,0.954,0.0679,0.113,0.265,87.91,181053,4
0.76,0.775,10,-13.959,0,0.364,0.594,2.75e-05,0.109,0.598,175.415,297040,4
0.429,0.76,7,-5.434,1,0.327,0.019,0,0.102,0.541,78.26,184753,4
0.758,0.71,7,-5.325,1,0.0315,0.0321,4.88e-06,0.332,0.961,124.069,160827,4
0.717,0.621,11,-7.588,0,0.0605,0.00403,0,0.144,0.72,133.014,248560,4
0.708,0.779,7,-6.28,1,0.0787,0.421,0.00176,0.115,0.46,142.012,218228,4
0.381,0.515,4,-7.537,1,0.0294,0.826,0.00027,0.0858,0.439,152.173,249493,4
0.484,0.849,0,-5.176,1,0.0843,0.212,0,0.141,0.469,148.179,238248,4
0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,191600,4
0.547,0.197,10,-12.002,1,0.0303,0.941,0.000756,0.144,0.402,133.85,191827,4
0.618,0.0772,9,-21.306,0,0.0514,0.975,0.919,0.107,0.36,104.691,273800,4
0.88,0.413,0,-8.459,1,0.0462,0.586,0.000833,0.0693,0.44,101.991,200413,4
0.67,0.677,0,-3.906,1,0.032,0.182,0,0.0884,0.685,121.041,181000,4
0.986,0.769,8,-6.699,1,0.302,0.794,0,0.189,0.958,117.945,143053,4
0.365,0.52,9,-6.52,1,0.0331,0.545,0,0.111,0.4,106.152,237267,4
0.731,0.897,3,-4.962,1,0.03,0.477,0.000584,0.0804,0.957,119.33,183987,4
0.173,0.167,2,-17.398,1,0.0409,0.923,0.0124,0.11,0.0332,71.746,312400,1
0.665,0.446,1,-11.884,1,0.0439,0.57,0.000669,0.082,0.172,141.94,230867,4
0.586,0.877,8,-2.373,1,0.105,0.000924,0.0811,0.0723,0.447,125.014,227741,4
0.551,0.561,7,-12.516,1,0.0483,0.325,0,0.0827,0.806,123.182,222333,4
0.708,0.666,2,-7.042,1,0.0349,0.166,0.000229,0.0929,0.834,89.019,213440,4
0.227,0.186,11,-13.291,0,0.0352,0.922,0,0.167,0.244,82.996,393080,4
0.646,0.314,0,-8.999,1,0.0345,0.778,0.00071,0.123,0.457,149.97,184480,4
0.419,0.372,5,-10.103,1,0.0589,0.559,0,0.0673,0.789,170.366,195800,3
0.714,0.905,8,-2.663,1,0.0289,0.00855,2.55e-05,0.146,0.838,125.927,155333,4
0.523,0.645,7,-8.095,1,0.0282,0.0379,0.748,0.204,0.84,117.758,169053,4
0.167,0.968,6,-4.993,1,0.109,2.04e-06,0.868,0.331,0.134,112.26,180738,4
0.61,0.652,1,-5.788,1,0.0232,0.0756,0.000237,0.536,0.739,95.066,212608,4
0.769,0.793,11,-4.25,1,0.0278,0.0206,0,0.0388,0.603,99.649,223187,4
0.467,0.779,0,-3.071,1,0.0336,0.455,0,0.176,0.749,191.287,186453,4
0.582,0.14,10,-12.855,1,0.0364,0.956,0.00144,0.135,0.223,128.338,232987,4
0.904,0.555,5,-5.157,1,0.082,0.144,0.00864,0.115,0.502,138.084,111304,1
0.407,0.356,8,-16.535,1,0.0406,0.938,0.882,0.147,0.311,82.209,387827,4
0.33,0.564,3,-7.352,1,0.0492,0.729,0,0.0862,0.288,91.303,284573,4
0.689,0.815,9,-3.76,1,0.0297,0.457,0,0.115,0.753,112.987,205667,4
0.779,0.37,0,-7.263,1,0.188,0.886,1.24e-05,0.21,0.864,180.182,97600,4
0.323,0.0461,0,-27.817,1,0.0427,0.946,0.0164,0.165,0.315,123.772,100133,4
0.276,0.982,4,-4.115,0,0.188,0.00214,5.39e-06,0.288,0.317,103.925,240667,3
0.746,0.779,6,-3.928,0,0.268,0.0325,5.64e-06,0.301,0.535,99.906,179974,4
0.694,0.832,5,-3.038,0,0.0598,0.0192,0,0.355,0.424,135.011,220238,4
0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,192053,3
0.478,0.454,2,-8.04,1,0.0287,0.476,0,0.112,0.436,116.096,197960,4
0.477,0.773,2,-6.639,1,0.0267,0.19,1.01e-05,0.265,0.566,85.189,350827,4
0.548,0.564,9,-6.662,0,0.105,0.671,0,0.11,0.615,95.154,224867,4
0.655,0.949,10,-3.42,0,0.065,0.0632,0,0.298,0.776,110.99,243520,4
0.743,0.671,9,-5.241,1,0.122,0.0512,0,0.116,0.499,163.229,237160,4
0.723,0.679,2,-7.517,1,0.0357,0.424,5.6e-05,0.317,0.71,126.028,198067,4
0.525,0.574,1,-6.448,0,0.296,0.53,6.89e-06,0.314,0.42,199.512,206249,4
0.661,0.268,7,-13.674,1,0.0271,0.622,0.00239,0.107,0.209,101.006,212626,4
0.576,0.376,10,-13.825,1,0.139,0.768,3.03e-05,0.0986,0.513,112.091,168987,3
0.592,0.18,5,-15.15,1,0.353,0.843,0,0.131,0.346,182.25,33840,3
0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,189480,4
0.542,0.749,6,-8.333,0,0.0277,0.173,0.942,0.315,0.674,94.031,237827,4
0.681,0.835,5,-4.426,1,0.0642,0.0574,0,0.223,0.581,132.059,182507,4
0.61,0.858,9,-4.867,1,0.0318,0.0284,0,0.102,0.421,110.881,214813,4
0.39,0.302,0,-10.362,1,0.0379,0.849,0.000191,0.122,0.232,109.394,184667,3
0.687,0.846,5,-4.247,0,0.0638,0.0873,0,0.303,0.912,157.374,73261,4
0.569,0.497,9,-6.699,1,0.0375,0.336,0,0.102,0.154,103.525,219248,4
0.767,0.271,0,-9.23,1,0.0531,0.572,0.0929,0.162,0.639,124.042,244173,4
0.728,0.615,6,-9.051,1,0.263,0.0346,0,0.196,0.812,100.14,245533,4
0.625,0.681,0,-7.071,1,0.0351,0.109,0.00278,0.247,0.625,120.006,212453,4
0.617,0.672,0,-7.265,1,0.383,0.234,0.156,0.213,0.509,85.379,283627,4
0.558,0.718,5,-5.691,0,0.0331,0.14,0,0.301,0.466,127.992,238027,4
0.711,0.761,6,-7.267,1,0.233,0.598,0.127,0.134,0.526,160.738,199343,4
0.747,0.81,2,-3.282,1,0.128,0.229,0.000194,0.369,0.774,82.52,311267,4
0.55,0.154,7,-14.917,1,0.0539,0.808,0,0.184,0.751,82.126,226200,4
0.715,0.456,2,-14.894,1,0.036,0.47,4.72e-05,0.281,0.75,126.185,198587,4
0.67,0.612,3,-6.53,1,0.0273,0.392,7.56e-05,0.127,0.505,134.983,127507,4
0.475,0.579,5,-4.096,1,0.0334,0.609,0,0.0756,0.466,178.151,182747,4
0.499,0.761,5,-5.436,0,0.0367,0.274,9.38e-06,0.137,0.582,76.118,262747,4
0.705,0.643,6,-5.309,0,0.123,0.17,0,0.234,0.69,165.96,242533,4
0.507,0.665,0,-7.598,1,0.0474,0.0144,0,0.0759,0.4,126.879,213338,4
0.352,0.431,5,-7.23,1,0.0326,0.175,6.21e-06,0.105,0.189,128.572,261000,4
0.798,0.717,9,-4.564,1,0.118,0.00541,0.00127,0.0613,0.775,105.024,171000,4
0.688,0.819,7,-6.935,1,0.0558,0.00329,1.8e-05,0.0943,0.457,146.003,279829,4
0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4
0.597,0.837,10,-6.518,1,0.375,0.00427,0.00114,0.839,0.447,126.342,171360,4
0.596,0.92,7,-6.638,1,0.0363,0.602,1.02e-05,0.076,0.966,164.301,196587,4
0.747,0.745,9,-3.335,1,0.146,0.0507,1.9e-06,0.151,0.805,180.123,203853,4
0.522,0.526,0,-8.79,1,0.0354,0.0283,0.000376,0.131,0.53,203.669,191093,4
0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4
0.643,0.877,8,-5.805,1,0.0502,0.0683,0,0.346,0.843,130.193,215160,4
0.697,0.949,0,-7.202,1,0.0353,0.0141,0,0.748,0.904,132.379,228427,4
0.602,0.796,0,-3.657,0,0.103,0.0682,0.12,0.15,0.265,126.06,245053,4
0.653,0.66,6,-4.966,1,0.0511,0.373,0,0.684,0.677,87.958,174785,4
0.322,0.54,1,-6.288,0,0.0273,0.769,0,0.12,0.178,93.776,244293,4
0.48,0.456,4,-7.46,1,0.0242,0.0087,0.000102,0.604,0.341,95.048,334347,4
0.531,0.925,9,-6.446,1,0.22,0.275,2.48e-06,0.905,0.626,112.092,267867,4
0.192,0.111,4,-21.133,1,0.0455,0.968,0.0906,0.376,0.0389,88.223,290707,4
0.703,0.656,1,-4.593,0,0.0496,0.0894,0,0.371,0.214,110.082,231189,4
0.302,0.327,9,-12.193,1,0.0556,0.0625,0.000245,0.162,0.233,167.291,154231,4
0.814,0.855,2,-4.053,1,0.191,0.0226,0.000326,0.144,0.863,170.065,144080,4
0.769,0.405,6,-9.152,1,0.269,0.545,0.000887,0.0521,0.521,78.427,221213,4
